imageName,imageNumber,typeOfPCD
tree_1_V_0039,1,k
tree_1_V_0039,2,k
tree_1_V_0039,3,k
tree_1_V_0039,4,k
tree_1_V_0040,1,k
tree_1_V_0040,2,k
tree_1_V_0040,3,k
tree_1_V_0040,4,k
tree_1_V_0041,1,k
tree_1_V_0041,2,k
tree_1_V_0041,3,k
tree_1_V_0041,4,k
tree_1_V_0042,1,k
tree_1_V_0042,2,k
tree_1_V_0042,3,k
tree_1_V_0042,4,k
tree_1_V_0043,1,k
tree_1_V_0043,2,k
tree_1_V_0043,3,k
tree_1_V_0043,4,k
tree_1_V_0044,1,k
tree_1_V_0044,2,k
tree_1_V_0044,3,k
tree_1_V_0044,4,k
tree_1_V_0045,1,k
tree_1_V_0045,2,k
tree_1_V_0045,3,k
tree_1_V_0045,4,k
tree_1_V_0048,1,k
tree_1_V_0048,2,k
tree_1_V_0048,3,k
tree_1_V_0048,4,k
tree_1_V_0049,1,k
tree_1_V_0049,2,k
tree_1_V_0049,3,k
tree_1_V_0049,4,k
tree_1_V_0050,1,k
tree_1_V_0050,2,k
tree_1_V_0050,3,k
tree_1_V_0050,4,k
tree_1_V_0051,1,k
tree_1_V_0051,2,k
tree_1_V_0051,3,k
tree_1_V_0051,4,k
tree_1_V_0052,1,k
tree_1_V_0052,2,k
tree_1_V_0052,3,k
tree_1_V_0052,4,k
tree_1_V_0053,1,k
tree_1_V_0053,2,k
tree_1_V_0053,3,k
tree_1_V_0053,4,k
tree_1_V_0054,1,k
tree_1_V_0054,2,k
tree_1_V_0054,3,k
tree_1_V_0054,4,k
tree_1_V_0056,1,k
tree_1_V_0056,2,k
tree_1_V_0056,3,k
tree_1_V_0056,4,k
tree_1_V_0057,1,k
tree_1_V_0057,2,k
tree_1_V_0057,3,k
tree_1_V_0057,4,k
tree_1_V_0058,1,k
tree_1_V_0058,2,k
tree_1_V_0058,3,k
tree_1_V_0058,4,k
tree_1_V_0059,1,k
tree_1_V_0059,2,k
tree_1_V_0059,3,k
tree_1_V_0059,4,k
tree_1_V_0060,1,k
tree_1_V_0060,2,k
tree_1_V_0060,3,k
tree_1_V_0060,4,k
tree_1_V_0061,1,k
tree_1_V_0061,2,o
tree_1_V_0061,3,k
tree_1_V_0061,4,k
tree_1_V_0062,1,k
tree_1_V_0062,2,k
tree_1_V_0062,3,k
tree_1_V_0062,4,k
tree_1_V_0064,1,k
tree_1_V_0064,2,o
tree_1_V_0064,3,k
tree_1_V_0064,4,k
tree_1_V_0065,1,k
tree_1_V_0065,2,o
tree_1_V_0065,3,k
tree_1_V_0065,4,k
tree_1_V_0066,1,k
tree_1_V_0066,2,o
tree_1_V_0066,3,k
tree_1_V_0066,4,k
tree_1_V_0067,1,k
tree_1_V_0067,2,o
tree_1_V_0067,3,k
tree_1_V_0067,4,k
tree_1_V_0068,1,k
tree_1_V_0068,2,k
tree_1_V_0068,3,k
tree_1_V_0068,4,k
tree_1_V_0069,1,k
tree_1_V_0069,2,k
tree_1_V_0069,3,k
tree_1_V_0069,4,k
tree_1_V_0015,1,k
tree_1_V_0015,2,k
tree_1_V_0015,3,k
